,goto,lats,lons,severity,time
4,True,53.78622758423599,-1.4048032457346316,3,1555
5,True,53.855145116552386,-1.5911074611466254,4,1558
6,True,53.7769092142774,-1.5794400558138033,3,1563
7,True,53.7899121669298,-1.5234058333342522,3,1576
8,True,53.76985537115448,-1.5178069420633196,3,1606
10,False,53.80146524488613,-1.5547192765063087,2,1617
9,True,53.80146524488613,-1.5547192765063087,2,1617
11,True,53.79895139476388,-1.4651703679852763,6,1655
12,False,53.79895139476388,-1.4651703679852763,6,1655
13,False,53.79895139476388,-1.4651703679852763,6,1655
14,False,53.78350543725839,-1.5591284527669256,3,1655
15,True,53.79636725940839,-1.5817049098641827,2,1657
18,False,53.82027006567662,-1.4982411559868567,3,1663
17,True,53.82027006567662,-1.4982411559868567,3,1663
16,False,53.909470144095025,-1.383172664202966,2,1663
20,False,53.79637817862793,-1.5620905323357526,3,1664
19,True,53.79637817862793,-1.5620905323357526,3,1664
21,True,53.81094665305915,-1.5172749861026151,2,1665
23,True,53.93097860337622,-1.3442012008987447,2,1708
25,False,53.84909481296587,-1.5270815059142222,3,1714
24,True,53.84909481296587,-1.5270815059142222,3,1714
22,False,53.80435422626717,-1.6667479517011503,3,1715
26,True,53.855467940166754,-1.683065237455737,3,1763
27,True,53.81652585610546,-1.4459760780085529,2,1767
29,False,53.80844558940017,-1.516681089474296,2,1792
28,True,53.85771398585797,-1.500378165104428,3,1792
33,False,53.79302255398867,-1.568683273216302,3,1803
34,False,53.79302255398867,-1.568683273216302,3,1803
30,True,53.781718672340155,-1.6034459887650205,3,1804
31,True,53.82408725098145,-1.549679120418387,2,1806
32,True,53.79538618426884,-1.5466769887911471,3,1810
37,False,53.80131672947751,-1.5860435996597873,3,1814
35,True,53.82782360285758,-1.537165860658649,3,1814
36,False,53.80131672947751,-1.5860435996597873,3,1814
42,False,53.79615218185531,-1.5495987157001612,2,1848
39,False,53.74386233805956,-1.453012039761134,3,1850
38,True,53.74386233805956,-1.453012039761134,3,1850
40,True,53.805207882166854,-1.381195776359043,2,1851
41,True,53.789482506973776,-1.5238508876694095,3,1853
43,True,53.79416603545235,-1.566743622165164,4,1856
44,False,53.79416603545235,-1.566743622165164,4,1856
46,False,53.778876051163685,-1.4104157965376207,3,1857
45,True,53.778876051163685,-1.4104157965376207,3,1857
78,False,53.79481293151804,-1.5424629114500779,2,1867
47,True,53.77987931801107,-1.6356350399848913,2,1871
173,False,53.81123909510936,-1.575634146267864,2,1887
48,True,53.718538904298114,-1.5919932852400271,4,1901
49,True,53.81088007264343,-1.5253702053783469,3,1906
50,True,53.822837312360065,-1.470274354585085,2,1909
0,False,53.877041099994194,-1.7240313453988334,4,1910
51,True,53.72504845649926,-1.5847617111067323,3,1911
52,False,53.72504845649926,-1.5847617111067323,3,1911
53,False,53.72504845649926,-1.5847617111067323,3,1911
54,True,53.90395135856983,-1.691054591350042,4,1930
55,True,53.741120185582346,-1.5383156236818696,3,1943
59,True,53.78307340584551,-1.3783494346202674,5,1945
60,False,53.78307340584551,-1.3783494346202674,5,1945
61,False,53.78307340584551,-1.3783494346202674,5,1945
56,False,53.72351606109349,-1.4304826323937279,4,1950
57,False,53.72351606109349,-1.4304826323937279,4,1950
58,False,53.72351606109349,-1.4304826323937279,4,1950
1,False,53.79180051854632,-1.6220978327472027,3,1952
64,False,53.805109863633966,-1.5835008229164522,3,1955
63,False,53.80369130623588,-1.532663747472997,3,1956
62,True,53.80369130623588,-1.532663747472997,3,1956
245,False,53.77496295955889,-1.3041329458247695,3,1957
246,False,53.77496295955889,-1.3041329458247695,3,1957
65,True,53.75259484908331,-1.599989433636708,2,1959
66,True,53.77944907639108,-1.5583818319025435,2,1960
67,True,53.84266817195123,-1.5853777093056514,5,1995
68,False,53.84266817195123,-1.5853777093056514,5,1995
69,True,53.90401727925481,-1.692226065441723,3,1996
71,True,53.80642884146506,-1.5828499905873754,4,2031
70,False,53.77025263231927,-1.5227484405171485,3,2032
72,True,53.833006819491715,-1.5204098935080397,2,2033
73,True,53.78878956739236,-1.6221096954966816,4,2039
74,True,53.79036356043912,-1.5471257682307367,5,2051
75,True,53.804591795543566,-1.5691416185272267,3,2056
76,True,53.808725871675804,-1.5895393136652713,4,2082
77,True,53.79892048112662,-1.6283193042717092,3,2096
79,True,53.79278877935439,-1.5971026677005231,3,2136
81,True,53.79329852153551,-1.5228665194242315,2,2142
83,False,53.72855971142531,-1.4461019707586042,4,2146
89,False,53.802684304945224,-1.5442600418165446,2,2146
82,True,53.72855971142531,-1.4461019707586042,4,2146
84,True,53.77769228297464,-1.5696142809256222,4,2149
85,False,53.77769228297464,-1.5696142809256222,3,2149
86,False,53.77769228297464,-1.5696142809256222,3,2149
87,True,53.74642719017951,-1.6075992978188345,4,2177
88,False,53.74642719017951,-1.6075992978188345,4,2177
97,False,53.906430055559156,-1.693806563955576,3,2184
90,True,53.801730013310426,-1.4944995617781296,2,2185
91,True,53.79014774081625,-1.671292742307093,3,2187
94,False,53.80798171147761,-1.5596311172885147,3,2191
92,True,53.78359324150444,-1.5033833933598773,2,2192
93,True,53.80737444238241,-1.469497345540278,4,2193
95,True,53.807093158578816,-1.5111995831724157,3,2195
96,False,53.807093158578816,-1.5111995831724157,3,2195
99,False,53.781249632918126,-1.559182435449345,2,2237
98,True,53.781249632918126,-1.559182435449345,2,2237
3,False,53.82291700612669,-1.5281509153292336,3,2241
2,False,53.82291700612669,-1.5281509153292336,3,2241
100,True,53.80571569743071,-1.6284110951031392,2,2241
101,True,53.818838385976036,-1.517336237672112,3,2242
102,True,53.81896174439449,-1.5144943806928846,3,2245
105,False,53.78981474691772,-1.6222826356544016,3,2252
103,True,53.78981474691772,-1.6222826356544016,4,2252
104,False,53.78981474691772,-1.6222826356544016,3,2252
106,False,53.8470089885357,-1.5503148775746334,2,2273
107,True,53.78603770746855,-1.5323893360640073,3,2273
108,True,53.845593146271234,-1.5490533143504395,3,2278
111,False,53.78277164428597,-1.6038610064005927,3,2281
109,True,53.89476790900394,-1.6401456202596552,3,2284
110,False,53.89476790900394,-1.6401456202596552,3,2284
112,True,53.80850030997099,-1.5168778749787832,3,2288
113,True,53.82960315126924,-1.5610757779863977,2,2295
114,True,53.80627541744855,-1.5749857375885776,3,2364
115,True,53.7527585218698,-1.515212178275583,3,2383
120,False,53.836215116527654,-1.5986920754551317,3,2384
119,False,53.836215116527654,-1.5986920754551317,3,2384
116,True,53.84205222126591,-1.6025725337643597,4,2385
117,False,53.80085492981949,-1.5336517945411265,4,2385
118,True,53.795130858002054,-1.5316810186589176,3,2387
121,True,53.80014842086548,-1.5583466998056172,3,2417
122,True,53.80982168459158,-1.5841071526612447,3,2424
123,True,53.811175388880635,-1.5116077182966234,2,2433
124,True,53.78913024077962,-1.523414691105228,3,2436
125,False,53.78913024077962,-1.523414691105228,3,2436
126,False,53.78913024077962,-1.523414691105228,3,2436
127,False,53.78913024077962,-1.523414691105228,3,2436
133,False,53.906946880019355,-1.3429336167116834,2,2463
129,False,53.8243883421702,-1.5320537928012126,3,2464
128,True,53.87237216155312,-1.707058660839484,3,2483
130,True,53.83950990707461,-1.4385910646289122,5,2487
131,False,53.83950990707461,-1.4385910646289122,3,2487
135,False,53.798336154510196,-1.587044583539438,3,2488
132,True,53.809840687428675,-1.5171661958158242,3,2488
134,True,53.732980718540745,-1.539299113728119,2,2491
136,True,53.832239445709114,-1.4543688430749948,2,2512
137,True,53.77188786040208,-1.5294209812993982,2,2513
138,True,53.85351993462341,-1.551294064499119,2,2515
139,True,53.80140749291318,-1.6672267906337184,3,2525
140,True,53.799368975030646,-1.651999831406776,2,2526
141,True,53.812835166186375,-1.5670220400808113,2,2530
142,True,53.80839818825514,-1.647642767604793,4,2532
143,True,53.80289591690169,-1.572453851952703,3,2534
144,False,53.80289591690169,-1.572453851952703,3,2534
145,True,53.79308557706212,-1.568712987328271,3,2560
179,False,53.76916435621763,-1.5180727723086358,3,2570
146,True,53.816765853128054,-1.598908163271283,2,2575
147,True,53.812302163836236,-1.5763372076281936,3,2579
148,True,53.78020466679086,-1.591532333694736,3,2580
149,True,53.81144558649016,-1.5229187461198446,3,2630
150,False,53.81144558649016,-1.5229187461198446,3,2630
151,False,53.81144558649016,-1.5229187461198446,3,2630
152,True,53.795272709735855,-1.5900956591628685,3,2633
153,False,53.804809446932495,-1.6437400946083514,3,2633
154,True,53.81589582372111,-1.6021515854342852,3,2637
155,True,53.840264637191446,-1.4783826241733267,4,2667
156,True,53.77780069652773,-1.5549848357333342,3,2675
157,True,53.793482210704475,-1.5975058938885702,2,2703
158,True,53.81040445080255,-1.5941851443504411,3,2705
159,True,53.79906362706008,-1.5376038771640463,3,2706
160,True,53.798299940656435,-1.5948788540007364,3,2714
161,True,53.817560649600104,-1.5867949737104583,2,2752
164,False,53.80017975692661,-1.5264930367561225,2,2756
165,False,53.812231237795245,-1.5665422745476985,3,2757
166,False,53.812231237795245,-1.5665422745476985,3,2757
167,False,53.812231237795245,-1.5665422745476985,3,2757
162,True,53.794294095886926,-1.6037980558587308,2,2764
163,True,53.78610825758836,-1.548461666819115,3,2769
188,False,53.81483726687622,-1.5614577986752431,2,2814
168,True,53.78637016700871,-1.6543687990421445,3,2824
169,False,53.752936101097646,-1.383571525080812,3,2824
170,True,53.78037532961588,-1.563425571978032,3,2826
171,True,53.774994622488755,-1.5378683093848609,4,2837
172,True,53.81454848641309,-1.4557983851028038,3,2852
177,False,53.81065716912402,-1.556383556923283,3,2864
174,True,53.79996792734752,-1.5051789743205326,3,2867
175,False,53.79996792734752,-1.5051789743205326,3,2867
176,False,53.82423402482944,-1.5726165579173033,3,2867
178,True,53.81075130200107,-1.5112026083431052,3,2869
184,False,53.82413021036958,-1.5788460678213065,3,2871
180,True,53.79687892986813,-1.5492569402014218,2,2876
210,False,53.940628985657476,-1.387999435377143,3,2890
181,True,53.79232816071592,-1.6184195738938842,3,2895
182,True,53.81030388143814,-1.4474400521298392,4,2896
183,False,53.796476291231244,-1.537920767411165,2,2896
185,True,53.80522722205808,-1.5488333948934705,2,2897
